Label,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18
AD,0.143180444,0.148720146,0.056311952,0.067086236,-0.147552732,0.004851359,0.125487177,0.069599455,0.024092334,0.025195862,0.073669476,0.042009704,0.014340527,-0.104165105,0.039179938,-0.012675564,0.004747082,0.109300639
AD,0.096479797,0.17315066,0.079538782,0.103450981,-0.16262742,0.022955527,0.052616414,0.07333958,0.036343944,0.077217831,0.106247331,0.08376523,0.02516639,-0.077268602,0.031737303,0.03363837,0.00656731,0.094455151
AD,0.098789066,0.175274858,0.050205248,0.061236404,-0.157794891,0.03071301,0.084859955,0.066806894,0.020361663,0.060732827,0.088382997,0.045389714,0.017424747,-0.126147683,0.0538769,0.017568951,-0.004081772,0.084043639
AD,0.129248485,0.115142353,0.006486471,0.05781987,-0.215654671,0.041839886,0.003942907,0.047424772,0.078423406,0.094364051,0.074618492,-0.041806335,0.035816317,-0.129639369,0.059832696,0.010840684,-0.015425184,0.067509144
AD,0.133912022,0.190857764,0.014566483,0.078375899,-0.106844334,0.018590934,0.044306852,-0.032107526,0.0603075,0.064962961,0.106455296,0.084457382,-0.080151534,-0.125779819,0.061878555,-0.006871073,-0.015327282,0.151236142
AD,0.137438077,0.194037064,-0.001071621,0.050820129,-0.138490306,0.033402182,0.035271134,0.045573555,0.024187381,0.025672854,0.083114332,-0.017302655,-0.024538222,-0.154505488,0.070659504,0.003447577,-0.015850098,0.123022457
AD,0.093558359,0.24794967,0.051297326,0.069114066,-0.098636625,0.017160714,0.106881125,0.093976448,0.023099258,0.045042928,0.089086417,0.072320039,-0.004069164,-0.158870032,0.019368355,0.018386132,-0.020745706,0.088521494
AD,0.138713269,0.170086744,0.029387461,0.059709564,-0.133404011,0.056107581,0.08321976,-0.016568633,0.013846663,0.073937868,0.117350845,-0.006255447,-0.045236482,-0.116913946,0.036776762,0.029635137,-0.026180605,0.08748516
AD,0.200935908,0.164277693,0.008807728,0.036329431,-0.138631713,0.000675631,0.076978646,0.023689804,0.051612685,0.086184734,0.107200991,0.067805102,-0.0159232,-0.095315549,0.018095518,-0.024118844,-0.02104776,0.103017717
AD,0.105409073,0.10004338,0.068916437,0.05950414,-0.17689816,0.054896535,0.091775177,0.088761271,0.026179864,0.092427944,0.137245544,0.066338985,-0.058077012,-0.081191516,0.02640623,0.032750989,0.032640408,0.016133161
AD,0.123482385,0.179990257,0.012507508,0.073625171,-0.119752328,0.046979232,0.05799738,0.003472792,0.040453368,0.02936611,0.076921397,0.008434904,-0.031781658,-0.159028343,0.053086378,0.019869694,0.001188525,0.114812292
AD,0.125557024,0.194874038,0.013773414,0.063655167,-0.131891767,0.010187804,0.078043864,0.026625474,0.030752829,0.042064026,0.112674535,0.017829114,-0.031190192,-0.155468603,0.021766022,0.008871083,-0.015487771,0.079353612
AD,0.179385486,0.122714539,-0.095904531,0.025196009,-0.154615075,-0.068838436,0.053131391,0.005186758,0.082166926,0.081346174,0.087536853,-0.026490042,-0.026614854,-0.192834242,0.040858921,-0.00791838,-0.055735275,0.028414443
AD,0.129375583,0.163053674,0.011129128,0.059302898,-0.139066172,0.020369888,0.053835545,0.028271242,0.028645272,0.034909404,0.066759918,0.016325943,-0.034525645,-0.149866152,0.067673885,0.004310921,-0.00337676,0.114482691
AD,0.172698492,0.147893673,0.00774394,0.058143109,-0.18260061,0.03504123,0.047336797,0.062188554,0.035764014,0.065443343,0.121034574,0.047126481,-0.027075112,-0.074924089,0.067767593,0.002007148,-0.011482809,0.084682871
AD,0.158323075,0.180483616,-0.013668342,0.056763252,-0.133010902,0.022103852,0.035399008,0.004356219,0.050635221,0.073911612,0.116594073,0.059132454,-0.039142653,-0.167885573,0.037990336,0.035787292,-0.040483554,0.063407586
AD,0.15207774,0.178575606,-0.056803328,0.020878198,-0.093561878,-0.017914007,0.089554222,-0.019445505,0.03103817,0.052373462,0.115360499,-0.003607781,-0.075027106,-0.216826599,0.028947475,0.0016445,-0.03259994,0.04667695
AD,0.094787601,0.222734233,0.055674956,0.068493546,-0.093968286,0.076570672,0.066968328,0.046076553,0.021671416,0.031086717,0.061336938,0.043909651,-0.042351313,-0.147968769,0.063611567,0.0187012,0.013755422,0.162120231
AD,0.180565051,0.175893998,-0.036384281,0.061073728,-0.119316331,-0.000738349,0.070026246,-0.055399859,0.044117184,0.068366841,0.136633165,-0.041849809,-0.06203063,-0.155532703,0.022086609,-0.01401092,-0.047729751,0.095823239
AD,0.135829074,0.221483603,-0.008279027,0.021733167,-0.099467483,0.045748516,0.08694158,0.004141189,0.025054259,0.03441399,0.1299609,0.029752922,-0.043746907,-0.126097001,0.046109246,0.004098623,-0.000276998,0.151517334
AD,0.119745844,0.165870374,0.034600752,0.07663897,-0.106920552,0.048324083,0.06900441,0.01334843,0.027995434,0.024674899,0.040016982,-0.013643411,-0.052390103,-0.163157427,0.069544531,0.017321386,-0.0086305,0.098240207
AD,0.124388491,0.216420128,0.027169016,0.037867997,-0.132168942,0.034209914,0.058482657,0.013533844,0.028781916,-0.006504286,0.041444431,-0.001004371,-0.017480315,-0.13749604,0.070795684,0.013716372,0.012358598,0.168358852
AD,0.112033249,0.212541661,0.058786906,0.033090698,-0.125408793,0.066593101,0.076635601,0.063957597,0.003264979,0.035517685,0.030702941,0.00555788,-0.001576862,-0.102930403,0.076958582,0.044547728,-0.004030958,0.164385341
AD,0.139127579,0.179577195,0.013559367,0.046116672,-0.118991329,0.029199449,0.11641326,0.001289129,0.021060747,0.003913823,0.105148978,0.023247155,-0.014276218,-0.12635026,0.058329793,-0.002804297,-0.023834039,0.126461375
AD,0.107018994,0.216907308,0.070828871,0.10100389,-0.110530569,0.051992935,0.05496058,0.04925319,0.024035641,0.029366917,0.05665716,0.010648017,-0.017951918,-0.123696226,0.064114128,0.015421256,0.00395683,0.170876014
AD,0.165886919,0.170670267,-0.006637412,0.081534068,-0.120941725,0.029826113,0.071018095,0.010375428,0.029081759,0.054111193,0.094672234,-0.015370061,-0.038130137,-0.157415166,0.034059917,0.013725176,-0.030744975,0.06925603
AD,0.136523759,0.178306521,0.01910353,0.07751577,-0.125708254,0.024179724,0.054585944,0.076463503,0.036702709,0.039249732,0.076158638,0.056328736,0.010713533,-0.155119317,0.052046396,-0.02835501,0.001977306,0.105295064
AD,0.10438703,0.222379148,0.089667153,0.083406262,-0.115914939,0.042101569,0.047374136,0.076756782,0.021392234,0.059843136,0.067553766,0.05642913,-0.029053909,-0.066703502,0.075901118,0.015721784,0.025374891,0.15749096
AD,0.165234643,0.199735599,0.024695589,0.044975251,-0.107930495,0.046821779,0.079563014,0.043923191,0.030042528,-0.002805929,0.069779461,0.011649191,-0.015430172,-0.141402031,0.051915061,-0.012308845,-0.006245636,0.104752318
AD,0.129341744,0.209823333,0.054665818,0.043627389,-0.147358894,0.041404381,0.048548421,0.0307,0.036981087,0.059281252,0.091572166,0.078834673,-0.028084162,-0.079389221,0.051000012,0.003360186,0.025085243,0.162537108
AD,0.120216295,0.197961286,0.051809919,0.088900335,-0.122913336,0.039107319,0.070174725,0.078957537,0.027784757,0.041393574,0.076035184,0.022184076,0.001725255,-0.133198223,0.04161297,0.032592906,-0.015875549,0.105076404
AD,0.118534661,0.230193682,0.06364879,0.067872383,-0.105260291,0.05263145,0.108009461,0.097018248,0.014167027,0.048545998,0.073475471,0.06712333,-0.00924153,-0.123492123,0.048575556,-0.017284024,0.012082835,0.114733614
AD,0.119939591,0.196652406,0.022097979,0.068532381,-0.127943212,0.012716641,0.097531371,0.018410919,0.016348594,0.084773645,0.141993349,0.033203034,-0.064998154,-0.090597031,0.035825815,0.00919577,-0.014674982,0.121801173
AD,0.127815131,0.209941965,0.051224818,0.061940863,-0.122216919,0.038094825,0.071458255,0.072599807,0.038146114,0.010841358,0.065842344,0.037370422,0.003616858,-0.131203295,0.045796008,0.026778622,-0.001682282,0.115070947
AD,0.150186455,0.133337536,-0.036767002,0.065430834,-0.13351437,-0.021390288,0.104832735,-0.059240632,0.017456744,0.039412928,0.120606701,-0.037006823,-0.076725933,-0.180568562,0.063681403,0.007909637,-0.038926841,0.086441699
AD,0.140772311,0.160279742,0.012469148,0.053236384,-0.122751041,0.051491685,0.063771191,-0.001410366,0.0458586,0.077011049,0.120554505,0.040430256,-0.023166843,-0.04987155,0.021791121,0.000681034,0.017956876,0.147977491
AD,0.131279003,0.167572592,0.012683005,0.021558973,-0.154542108,0.030316768,0.072356733,0.039189155,0.032211128,0.018987194,0.039471757,-0.02283102,0.005706422,-0.171343345,0.061566884,0.002433092,-0.002739986,0.09950183
AD,0.248959162,0.068269963,-0.059182387,0.045628281,-0.146372121,0.018946658,0.062230606,0.017441196,0.050910765,0.111480031,0.133885317,0.029795649,-0.062736608,-0.094739698,0.021088914,0.018938652,-0.039028872,0.05616275
AD,0.133821781,0.200671989,0.04304516,0.035571048,-0.14500245,0.037235202,0.052270003,0.028600773,0.046139282,0.031192209,0.115679681,0.038847758,0.000171507,-0.079795341,0.041271624,0.018021522,0.027260253,0.135312882
AD,0.152607818,0.172653578,-0.015103877,0.073496286,-0.100046953,-0.011669159,0.089622953,0.026575065,0.025904908,0.046654319,0.107027354,-0.031555585,-0.06811125,-0.160212699,0.0466499,-0.002406501,-0.016292659,0.068941616
AD,0.18859927,0.077817875,-0.004240916,0.067158654,-0.117464668,0.031215353,0.073081174,0.047601278,0.014130342,0.191555671,0.11523776,0.061165133,-0.011691504,-0.028082426,-0.051862849,0.068967972,0.020716456,0.08834
AD,0.169862831,0.143199048,0.016105445,0.03247831,-0.11529767,0.054048279,0.12476019,0.081202766,0.021168025,0.03677571,0.071350269,0.028076169,0.008859424,-0.118009342,0.026590473,0.024233311,-0.011986823,0.05369838
AD,0.101882317,0.218221094,0.05279327,0.051866142,-0.106828877,0.090253531,0.06592793,0.050382013,0.020762839,0.034173875,0.067786119,0.032020061,-0.047530298,-0.130611754,0.068396293,0.018203935,0.015206243,0.142726712
AD,0.12013547,0.195847426,0.036905959,0.081452315,-0.111225013,0.010116257,0.060747107,0.020753149,0.020394128,0.023798866,0.067186254,-0.015787906,-0.027242719,-0.160979324,0.026382091,0.033557599,0.01839975,0.130834204
AD,0.230122398,0.106258411,-0.015454313,0.05536608,-0.135193242,0.063923752,0.054783098,0.024034632,0.04488756,0.109305138,0.084271502,0.022799818,-0.054926944,-0.048667203,0.021667527,0.042271284,-0.060175735,0.060896573
AD,0.143770038,0.198242493,0.024011858,0.038768866,-0.172234982,0.06677268,0.050913632,0.052441448,0.027366486,0.088422545,0.130854144,0.033526547,0.003873988,-0.047851941,0.055727701,0.033857955,-0.037548654,0.125949327
AD,0.102470843,0.205539509,0.029978805,0.05760965,-0.113706247,0.031433968,0.077443336,0.065853957,0.020970725,0.004208928,0.047639828,0.023033929,-0.003840854,-0.138369136,0.052775593,0.040094961,0.032380682,0.160489134
AD,0.123286518,0.224839498,0.019871218,0.04767931,-0.080788812,0.019963127,0.086143212,0.02243065,0.024533275,0.024215557,0.084383145,0.00180756,-0.045696003,-0.151822896,0.030475805,0.021479576,-0.003183828,0.133295057
AD,0.115909522,0.220780064,0.056153508,0.068919469,-0.099905112,0.063382745,0.067770718,0.057422781,0.025158742,0.006048825,0.03570129,0.034371071,0.015721684,-0.147654359,0.050942114,0.008075156,0.013057914,0.151057544
AD,0.110709596,0.206564793,-0.048481762,0.108926928,-0.063975232,0.047223568,0.088905604,0.085395927,0.115141516,0.132747537,0.140485196,0.035346966,-0.002935341,-0.111791894,0.086119727,0.048699499,0.0284615,-0.038391225
AD,0.194045571,0.094257696,-0.11302042,0.084620625,-0.132592001,0.026183337,0.100762482,0.030442513,0.074781638,0.057579895,0.164896818,-0.020908387,0.029093249,-0.126385811,0.106454812,0.024635138,0.030243821,-0.078183593
AD,0.133237981,0.121536695,-0.060733677,0.081787341,-0.137241444,0.020243187,0.116000862,0.046061898,0.072739598,0.14161259,0.133530103,0.009389627,0.052831357,-0.131238334,0.093493539,0.04325405,0.02600527,-0.125443321
AD,0.144231879,0.138571234,-0.046701481,0.081980473,-0.108154724,0.03734231,0.107189054,0.002307602,0.04997196,0.083533738,0.102677912,-0.01661432,0.008298177,-0.125034198,0.132929067,0.030664737,0.041979035,0.026497753
AD,0.175839196,0.076655056,-0.087943287,0.073883305,-0.139808647,0.035505639,0.12689099,0.076207171,0.106645742,0.161351972,0.157668977,0.090333202,0.012098494,-0.126403219,0.108404674,0.039717415,0.00189401,-0.12436159
AD,0.246156925,0.092798056,-0.090728234,0.095592064,-0.115431632,0.121434396,0.062272621,0.027938831,0.057233986,0.163600886,0.151764221,-0.005299192,-0.015294914,-0.045779391,0.05524364,0.062745312,0.013206565,-0.048841051
AD,0.291727555,-0.09494599,-0.044044765,-0.045908221,-0.139512809,0.018078375,0.195732835,0.21472182,0.18579356,0.265779875,0.02913525,0.059783671,0.006812755,-0.007863758,0.161854178,0.229492822,-0.064727981,-0.2838156
